ticker,rows_before,rows_after,traded_all_sessions,missing_ticks,missing_blocks,blocks_at_open,blocks_at_close,nan_cells,nan_cols
QQQ,418608,194490,1,0,0,0,0,0,0
SPY,399427,194486,1,4,1,0,0,0,0
VXX,249629,193336,1,1154,1068,0,0,0,0
AAPL,374887,194490,1,0,0,0,0,0,0
AMZN,370520,194490,1,0,0,0,0,0,0
GOOGL,320326,194490,1,0,0,0,0,0,0
META,303360,194490,1,0,0,0,0,0,0
MSFT,313490,194490,1,0,0,0,0,0,0
NFLX,230457,193754,1,736,711,0,0,0,0
NVDA,422713,194490,1,0,0,0,0,0,0
TSLA,457737,194490,1,0,0,0,0,0,0
