ticker,fract_dim,garch_omega,garch_alpha,garch_beta,garch_df,garch_llf,garch_ok,rfsf_H,rfsf_sigma,rfsf_ok,t_total,t_garch
AAPL,1.0894688482464452,-0.006355681927329484,0.14225786637385446,0.98,5.1195233975563,-186638.31655623278,true,0.5447344241232226,1.121448921533008,true,2.7949379000347108,2.785758300218731
AMZN,1.426279167391201,0.0043533171447276905,1.0,0.9001082761024674,4.006377414424185,-5818160.158833657,true,0.7131395836956005,1.1514630767950402,true,1.3769867999944836,1.3683539999183267
GOOGL,1.3352569130783118,0.006089238937369488,1.0,0.8991582407090293,4.003384518503021,-4372654.714002633,true,0.6676284565391559,1.1404806719027574,true,1.4146499999333173,1.4070133999921381
META,1.192263691494182,9.210340350865739,0.0,0.98,2.073221336584324,-1234031.5851114746,true,0.596131845747091,1.1583500724577618,true,5.076936600031331,5.069569799816236
MSFT,1.293358503135308,-0.005155734680187132,0.1476807936420652,0.98,5.0736714633430715,-193847.80241831846,true,0.646679251567654,1.1332740783691406,true,2.760960399871692,2.7542285001836717
NFLX,1.9846061362409737,-0.00606676597431905,0.15499066254338006,0.98,4.839617919655819,-189585.0652848008,true,0.95,1.173360186902106,true,4.795370100066066,4.78811899991706
NVDA,1.8917832046732919,9.210340226634207,1.0,0.98,3.007800732923549,-2247410.023234311,true,0.9458916023366459,1.1454258333308525,true,3.828365199966356,3.8219586999621242
QQQ,1.0549633956518558,-0.0017701268368900216,0.10272248953903373,0.98,5.119501602163047,-199902.3160339232,true,0.5274816978259279,1.1191554334926768,true,4.419001800008118,4.411348099820316
SPY,1.3684924192537897,-0.00729251934501705,0.1327751224167663,0.98,4.948405390554975,-198240.36635194978,true,0.6842462096268949,1.1191816329956055,true,3.6121173000428826,3.606342100072652
TSLA,1.1389042347557894,9.21013885982418,1.0,0.98,3.0210125618590644,-2234733.0639481395,true,0.5694521173778947,1.173541027119949,true,6.005199100123718,5.9994717999361455
VXX,1.1540500175942823,-0.005229518209812403,0.1724439761467365,0.9798223764128628,4.023349424791212,-161315.301053471,true,0.5770250087971411,1.396239995956421,true,2.7965927999466658,2.7906837000045925
